"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"comparto funzioni centrali","517","519","997","1001","1003","1020","1038","1081","1083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"trattato funzionamento unione_europea","195","196","224","236","240","247","737","804","890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"facoltà assunzionali previste","524","989","990","993","1014","1018","1020","1038","1066","1133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data entrata vigore","425","426","430","531","728","825","1025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ragioneria generale stato","11","43","51","53","59","238","651","662","673","915","958","959","1041","1058","1136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro infrastrutture trasporti","757","761","781","786","791","792","804","815","824","825","829","838","847","854","857","946","947","952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lavoro tempo determinato","239","244","365","425","554","559","820","1068","1097","1099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"servizio sanitario nazionale","493","495","500","501","511","524","546","554","556","570","579","582","586","587","966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro coesione territoriale","238","241","250","252","256","257","260","264","946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero università ricerca","76","250","604","606","620","621","622","625","633","635","649","650","652","653","655","656","657","659","1031","1079","1080","1081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero economia finanze","4","11","40","43","44","45","51","53","59","73","91","122","152","208","231","238","256","257","262","267","285","311","338","339","349","378","398","420","428","481","569","586","651","662","664","672","673","691","693","713","717","719","725","728","732","734","741","749","750","753","801","819","823","842","878","908","915","916","918","946","953","958","959","965","967","971","975","989","1022","1024","1041","1058","1063","1134","1136","1146","1148",,,,,,,,,,,,,,,,,,,,,,
"ministro sviluppo economico","25","36","69","85","91","101","147","165","177","181","212","216","217","266","277","330","331","341","636","654","721","722","724","771","818","847","876","917","940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro economia finanze","13","24","36","50","52","91","101","165","177","181","194","241","266","274","299","307","311","327","335","341","343","348","361","363","378","400","401","410","443","447","486","528","536","546","566","579","583","584","622","626","635","636","654","677","687","689","692","709","722","724","727","732","741","757","759","761","781","786","792","815","818","819","821","824","825","838","857","867","868","877","883","891","894","900","902","903","907","909","910","917","924","946","947","952","953","954","977","980","983","986","988","1025","1029","1032","1103","1107","1130","1137","1148"
"ministro università ricerca","252","616","620","622","624","626","628","635","636","642","649","650","654","656","1025","1029","1031","1032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
