ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,keep
province autonome trento bolzano ,11,0.0002212389,32.69268,0.7291811,0.0007,0.0006,0.0002,0.0003,1
politiche agricole alimentari forestali ,14,0.0002815768,31.94282,0.7303385,0.0017,0.0003,0.0004,0.0003,0
quadro temporaneo misure aiuto ,11,0.0002212389,30.89430,0.7178643,0.0004,0.0003,0.0016,0.0005,1
conferenza statoà autonomie locali ,15,0.0003016895,30.80921,0.7248568,0.0010,0.0003,0.0006,0.0009,0
sede conferenza statoà autonomie ,11,0.0002212389,29.87641,0.7110296,0.0013,0.0010,0.0003,0.0006,0
sede conferenza permanente rapporti ,10,0.0002011263,29.52664,0.7062734,0.0013,0.0010,0.0004,0.0006,0
intesa sede conferenza statoà ,11,0.0002212389,29.37699,0.7075537,0.0008,0.0013,0.0010,0.0003,0
ministero affari esteri cooperazione_internazionale ,11,0.0002212389,29.13980,0.7058734,0.0035,0.0005,0.0005,0.0004,1
inquadrare area posizione economica ,12,0.0002413516,28.95459,0.7067065,0.0004,0.0012,0.0007,0.0013,0
finanziarie disponibili legislazione vigente ,10,0.0002011263,28.05345,0.6955448,0.0006,0.0011,0.0008,0.0015,0
conferenza permanente rapporti stato ,16,0.0003218021,27.95336,0.7066978,0.0010,0.0004,0.0006,0.0060,0
permanente rapporti stato regioni_province_autonome_trento_bolzano ,16,0.0003218021,27.92479,0.7064858,0.0004,0.0006,0.0060,0.0010,0
sensi paragrafo trattato funzionamento ,10,0.0002011263,27.91608,0.6945043,0.0063,0.0003,0.0004,0.0009,0
dipartimento ragioneria generale stato ,16,0.0003218021,27.38231,0.7024014,0.0010,0.0003,0.0009,0.0060,0
finanze dipartimento ragioneria generale ,10,0.0002011263,27.27482,0.6895516,0.0041,0.0010,0.0003,0.0009,0
temporaneo misure aiuto stato ,11,0.0002212389,27.12552,0.6907858,0.0003,0.0016,0.0005,0.0060,0
livello finanziamento fabbisogno sanitario ,10,0.0002011263,27.11192,0.6882677,0.0009,0.0020,0.0007,0.0011,1
sanitario nazionale standard concorre ,10,0.0002011263,27.05249,0.6877967,0.0011,0.0036,0.0007,0.0005,0
sostegno economia attuale emergenza ,11,0.0002212389,26.40572,0.6850119,0.0012,0.0045,0.0003,0.0015,0
dl_14_10_2019_n_111 convertito modificazioni l_12_12_2019_n_141 ,10,0.0002011263,26.27303,0.6814845,0.0002,0.0072,0.0085,0.0002,0
dl_22_6_2012_n_83 convertito modificazioni l_7_8_2012_n_134 ,12,0.0002413516,26.01047,0.6839992,0.0002,0.0072,0.0085,0.0002,0
finanze intesa sede conferenza ,14,0.0002815768,25.97448,0.6877257,0.0041,0.0008,0.0013,0.0010,0
assumere contratto lavoro tempo ,13,0.0002614642,25.94051,0.6855023,0.0005,0.0013,0.0036,0.0016,0
dl_8_4_2020_n_23 convertito modificazioni l_5_6_2020_n_40 ,13,0.0002614642,25.89518,0.6851251,0.0003,0.0072,0.0085,0.0003,0
dl_6_12_2011_n_201 convertito modificazioni l_22_12_2011_n_214 ,13,0.0002614642,25.89518,0.6851251,0.0003,0.0072,0.0085,0.0003,0
economia attuale emergenza covid-19 ,11,0.0002212389,25.84550,0.6803666,0.0045,0.0003,0.0015,0.0017,0
contratto lavoro tempo indeterminato ,13,0.0002614642,25.33803,0.6804141,0.0013,0.0036,0.0016,0.0008,1
misure aiuto stato sostegno ,11,0.0002212389,25.15048,0.6744096,0.0016,0.0005,0.0060,0.0012,0
economia finanze dipartimento ragioneria ,10,0.0002011263,24.96603,0.6703074,0.0045,0.0041,0.0010,0.0003,0
dl_17_3_2020_n_18 convertito modificazioni l_24_4_2020_n_27 ,27,0.0005430410,24.78943,0.6956273,0.0005,0.0072,0.0085,0.0006,0
dl_14_8_2020_n_104 convertito modificazioni l_13_10_2020_n_126 ,33,0.0006637168,24.55257,0.6993099,0.0007,0.0072,0.0085,0.0007,0
nazionale standard concorre stato ,10,0.0002011263,24.55182,0.6665996,0.0036,0.0007,0.0005,0.0060,0
stato sostegno economia attuale ,11,0.0002212389,24.44382,0.6681209,0.0060,0.0012,0.0045,0.0003,0
anno_2028 euro anno_2029 euro ,10,0.0002011263,24.32719,0.6645538,0.0004,0.0085,0.0003,0.0085,0
euro anno_2028 euro anno_2029 ,10,0.0002011263,24.32719,0.6645538,0.0085,0.0004,0.0085,0.0003,0
anno_2027 euro anno_2028 euro ,10,0.0002011263,24.02250,0.6617383,0.0004,0.0085,0.0004,0.0085,0
euro anno_2027 euro anno_2028 ,10,0.0002011263,24.02250,0.6617383,0.0085,0.0004,0.0085,0.0004,0
dl_19_5_2020_n_34 convertito modificazioni l_17_7_2020_n_77 ,49,0.0009855189,23.95340,0.7057524,0.0010,0.0072,0.0085,0.0010,0
economia finanze intesa sede ,14,0.0002815768,23.81766,0.6688129,0.0045,0.0041,0.0008,0.0013,0
aiuto stato sostegno economia ,11,0.0002212389,23.70724,0.6613019,0.0005,0.0060,0.0012,0.0045,0
decreto ministro infrastrutture trasporti ,11,0.0002212389,23.55514,0.6598587,0.0038,0.0062,0.0008,0.0010,0
data entrata vigore presente ,38,0.0007642800,23.34304,0.6927407,0.0034,0.0017,0.0014,0.0091,1
anno_2026 euro anno_2027 euro ,10,0.0002011263,23.31652,0.6550296,0.0006,0.0085,0.0004,0.0085,0
euro anno_2026 euro anno_2027 ,10,0.0002011263,23.31652,0.6550296,0.0085,0.0006,0.0085,0.0004,0
economia finanze adottare sessanta_giorni_data_entrata_vigore ,10,0.0002011263,23.00091,0.6519436,0.0045,0.0041,0.0013,0.0010,0
euro anno_2024 euro anno_2025 ,14,0.0002815768,22.73415,0.6584201,0.0085,0.0008,0.0085,0.0007,0
anno_2025 euro anno_2026 euro ,11,0.0002212389,22.71733,0.6516838,0.0007,0.0085,0.0006,0.0085,0
euro anno_2025 euro anno_2026 ,11,0.0002212389,22.71733,0.6516838,0.0085,0.0007,0.0085,0.0006,0
ministro lavoro politiche sociali ,17,0.0003419147,22.64112,0.6628894,0.0062,0.0036,0.0017,0.0014,1
concerto ministro economia finanze ,65,0.0013073210,22.46194,0.7010350,0.0020,0.0062,0.0045,0.0041,0
previsione ministero università ricerca ,10,0.0002011263,22.46032,0.6465275,0.0022,0.0035,0.0019,0.0025,0
anno_2024 euro anno_2025 euro ,11,0.0002212389,22.38622,0.6483436,0.0008,0.0085,0.0007,0.0085,0
previsione ministero economia finanze ,30,0.0006033789,22.06798,0.6735717,0.0022,0.0035,0.0045,0.0041,0
ministero economia finanze dipartimento ,14,0.0002815768,22.00933,0.6510959,0.0035,0.0045,0.0041,0.0010,0
istituito stato previsione ministero ,20,0.0004022526,21.98534,0.6609161,0.0021,0.0060,0.0022,0.0035,0
finanze adottare sessanta_giorni_data_entrata_vigore presente ,10,0.0002011263,21.98166,0.6415892,0.0041,0.0013,0.0010,0.0091,0
interno concerto ministro economia ,10,0.0002011263,21.83452,0.6400433,0.0010,0.0020,0.0062,0.0045,0
ministro economia finanze adottare ,27,0.0005430410,21.81587,0.6679175,0.0062,0.0045,0.0041,0.0013,0
ministro sviluppo economico concerto ,10,0.0002011263,21.78531,0.6395233,0.0062,0.0029,0.0016,0.0020,0
decreto ministro sviluppo economico ,18,0.0003620274,21.72265,0.6551992,0.0038,0.0062,0.0029,0.0016,0
anno_2023 euro anno_2024 euro ,14,0.0002815768,21.71389,0.6480197,0.0014,0.0085,0.0008,0.0085,0
euro anno_2023 euro anno_2024 ,14,0.0002815768,21.71389,0.6480197,0.0085,0.0014,0.0085,0.0008,0
milioni_di_euro anno_2025 milioni_di_euro anno_2026 ,11,0.0002212389,21.54969,0.6396124,0.0128,0.0007,0.0128,0.0006,0
stato previsione ministero economia ,30,0.0006033789,21.49740,0.6677860,0.0060,0.0022,0.0035,0.0045,0
milioni_di_euro anno_2024 milioni_di_euro anno_2025 ,13,0.0002614642,21.45959,0.6432598,0.0128,0.0008,0.0128,0.0007,0
anno_2024 milioni_di_euro anno_2025 milioni_di_euro ,13,0.0002614642,21.45959,0.6432598,0.0008,0.0128,0.0007,0.0128,0
ministro economia finanze intesa ,13,0.0002614642,21.42611,0.6429014,0.0062,0.0045,0.0041,0.0008,0
ministro interno concerto ministro ,10,0.0002011263,21.37335,0.6351105,0.0062,0.0010,0.0020,0.0062,0
decreto ministro università ricerca ,13,0.0002614642,21.20665,0.6405343,0.0038,0.0062,0.0019,0.0025,0
stato previsione ministero università ,10,0.0002011263,21.17408,0.6329371,0.0060,0.0022,0.0035,0.0019,0
sono stabiliti criteri modalità ,10,0.0002011263,21.01244,0.6311549,0.0162,0.0008,0.0019,0.0039,0
provvede utilizzo risorse fondo ,13,0.0002614642,20.98250,0.6380840,0.0024,0.0011,0.0059,0.0078,0
annui decorrere anno_2022 provvede ,10,0.0002011263,20.92780,0.6302147,0.0032,0.0048,0.0027,0.0024,0
decreto ministro lavoro politiche ,13,0.0002614642,20.78710,0.6359207,0.0038,0.0062,0.0036,0.0017,0
adottare sessanta_giorni_data_entrata_vigore presente sono ,17,0.0003419147,20.75262,0.6431591,0.0013,0.0010,0.0091,0.0162,0
ministero economia finanze istituito ,11,0.0002212389,20.63407,0.6295447,0.0035,0.0045,0.0041,0.0021,0
milioni_di_euro anno_2023 milioni_di_euro anno_2024 ,14,0.0002815768,20.54625,0.6353115,0.0128,0.0014,0.0128,0.0008,0
anno_2023 milioni_di_euro anno_2024 milioni_di_euro ,12,0.0002413516,20.32386,0.6284349,0.0014,0.0128,0.0008,0.0128,0
euro annui decorrere anno_2022 ,23,0.0004625905,20.30509,0.6470078,0.0085,0.0032,0.0048,0.0027,0
euro anno_2022 euro anno_2023 ,16,0.0003218021,20.12611,0.6343398,0.0085,0.0027,0.0085,0.0014,0
anno_2022 euro anno_2023 euro ,15,0.0003016895,20.03300,0.6314052,0.0027,0.0085,0.0014,0.0085,0
milioni_di_euro anno_2022 milioni_di_euro anno_2023 ,24,0.0004827031,19.54344,0.6395101,0.0128,0.0027,0.0128,0.0014,0
autorizzata spesa euro anno_2021 ,34,0.0006838294,19.41737,0.6487281,0.0024,0.0053,0.0085,0.0088,0
apportate modificazioni periodo parole ,15,0.0003016895,19.37457,0.6235937,0.0014,0.0085,0.0076,0.0049,0
istituito fondo dotazione milioni_di_euro ,20,0.0004022526,19.22252,0.6302025,0.0021,0.0078,0.0031,0.0128,0
decreto ministro economia finanze ,11,0.0002212389,18.98834,0.6099604,0.0038,0.0062,0.0045,0.0041,0
anno_2022 milioni_di_euro anno_2023 milioni_di_euro ,15,0.0003016895,18.86536,0.6173219,0.0027,0.0128,0.0014,0.0128,0
