ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,ni.5,keep
alta formazione artistica musicale coreutica ,12,0.0002378357,44.87949,0.7885043,0.0003,0.0016,0.0002,0.0003,0.0002,1
intesa sede conferenza stato autonomie ,11,0.0002180161,40.20495,0.7677356,0.0008,0.0012,0.0010,0.0003,0.0006,0
sede conferenza statoà autonomie locali ,11,0.0002180161,40.07068,0.7671385,0.0012,0.0010,0.0003,0.0006,0.0009,0
quadro temporaneo misure aiuto stato ,11,0.0002180161,38.35187,0.7592153,0.0004,0.0003,0.0016,0.0005,0.0059,0
sede conferenza permanente rapporti stato ,10,0.0001981964,36.98422,0.7504153,0.0012,0.0010,0.0004,0.0006,0.0059,0
temporaneo misure aiuto stato sostegno ,11,0.0002180161,36.92907,0.7522368,0.0003,0.0016,0.0005,0.0059,0.0012,0
conferenza permanente rapporti stato regioni ,16,0.0003171143,36.58441,0.7589006,0.0010,0.0004,0.0006,0.0059,0.0026,0
regioni province autonome trento bolzano ,51,0.0010108017,36.30319,0.7848749,0.0026,0.0017,0.0016,0.0012,0.0013,1
ministero ambiente tutela territorio mare ,13,0.0002576553,36.03673,0.7514070,0.0037,0.0007,0.0012,0.0017,0.0007,1
assumere contratto lavoro tempo indeterminato ,11,0.0002180161,36.02805,0.7476044,0.0005,0.0012,0.0036,0.0016,0.0008,0
permanente rapporti stato regioni province ,16,0.0003171143,35.78545,0.7548373,0.0004,0.0006,0.0059,0.0026,0.0017,0
sostegno economia attuale emergenza covid-19 ,11,0.0002180161,35.64905,0.7456038,0.0012,0.0044,0.0003,0.0015,0.0017,0
anno_2027 euro anno_2028 euro anno_2029 ,10,0.0001981964,35.62063,0.7433135,0.0004,0.0084,0.0004,0.0084,0.0003,0
aiuto stato sostegno economia attuale ,11,0.0002180161,35.48584,0.7447323,0.0005,0.0059,0.0012,0.0044,0.0003,0
ministro ambiente tutela territorio mare ,13,0.0002576553,35.21297,0.7470625,0.0066,0.0007,0.0012,0.0017,0.0007,1
economia finanze dipartimento ragioneria generale ,10,0.0001981964,35.16030,0.7408238,0.0044,0.0040,0.0010,0.0003,0.0009,0
ministro beni attività culturali turismo ,11,0.0002180161,35.10673,0.7426851,0.0066,0.0013,0.0049,0.0003,0.0005,1
anno_2026 euro anno_2027 euro anno_2028 ,10,0.0001981964,34.75428,0.7385875,0.0006,0.0084,0.0004,0.0084,0.0004,0
finanze dipartimento ragioneria generale stato ,10,0.0001981964,34.73240,0.7384659,0.0040,0.0010,0.0003,0.0009,0.0059,0
sanitario nazionale standard concorre stato ,10,0.0001981964,34.51007,0.7372237,0.0011,0.0036,0.0007,0.0005,0.0059,0
anno_2025 euro anno_2026 euro anno_2027 ,10,0.0001981964,33.87327,0.7335997,0.0007,0.0084,0.0006,0.0084,0.0004,0
stato sostegno economia attuale emergenza ,11,0.0002180161,33.86330,0.7357336,0.0059,0.0012,0.0044,0.0003,0.0015,0
economia finanze intesa sede conferenza ,14,0.0002774750,33.85996,0.7413186,0.0044,0.0040,0.0008,0.0012,0.0010,0
emanare sessanta giorni data entrata ,11,0.0002180161,33.62589,0.7343634,0.0003,0.0011,0.0025,0.0050,0.0033,0
rapporti stato regioni province autonome ,16,0.0003171143,33.61615,0.7430813,0.0006,0.0059,0.0026,0.0017,0.0016,0
anno_2024 euro anno_2025 euro anno_2026 ,11,0.0002180161,33.11801,0.7313840,0.0008,0.0084,0.0007,0.0084,0.0006,0
ministero economia finanze dipartimento ragioneria ,10,0.0001981964,33.10550,0.7290952,0.0037,0.0044,0.0040,0.0010,0.0003,0
misure aiuto stato sostegno economia ,11,0.0002180161,33.03596,0.7308964,0.0016,0.0005,0.0059,0.0012,0.0044,0
adottare sessanta giorni data entrata ,26,0.0005153107,32.93262,0.7509452,0.0013,0.0011,0.0025,0.0050,0.0033,0
sessanta giorni data entrata vigore ,50,0.0009909821,32.65060,0.7659165,0.0011,0.0025,0.0050,0.0033,0.0030,1
stato regioni province autonome trento ,18,0.0003567535,32.61643,0.7401183,0.0059,0.0026,0.0017,0.0016,0.0012,0
novanta giorni data entrata vigore ,15,0.0002972946,32.37886,0.7343031,0.0004,0.0025,0.0050,0.0033,0.0030,1
anno_2023 euro anno_2024 euro anno_2025 ,14,0.0002774750,32.27064,0.7319930,0.0014,0.0084,0.0008,0.0084,0.0007,0
anno_2024 milioni_di_euro anno_2025 milioni_di_euro anno_2026 ,11,0.0002180161,31.95037,0.7242740,0.0008,0.0126,0.0007,0.0126,0.0006,0
trenta giorni data entrata vigore ,19,0.0003765732,31.86459,0.7369346,0.0008,0.0025,0.0050,0.0033,0.0030,1
economia finanze adottare sessanta giorni ,10,0.0001981964,31.47316,0.7189930,0.0044,0.0040,0.0013,0.0011,0.0025,0
finanze adottare sessanta giorni data ,10,0.0001981964,31.29679,0.7178562,0.0040,0.0013,0.0011,0.0025,0.0050,0
euro anno_2028 euro anno_2029 euro ,10,0.0001981964,31.28228,0.7177623,0.0084,0.0004,0.0084,0.0003,0.0084,0
ministro economia finanze intesa sede ,13,0.0002576553,31.02646,0.7224069,0.0066,0.0044,0.0040,0.0008,0.0012,0
