"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102"
"cassa depositi prestiti","449","450","452","565","566","569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero transizione ecologica","178","443","449","452","454","455","458","460","472","821","829","831","833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data presentazione domanda","114","121","126","132","145","148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data entrata vigore","2","15","26","29","30","76","79","89","90","101","122","127","146","200","204","206","217","231","247","249","252","262","266","273","291","298","302","307","311","339","348","364","399","428","429","430","433","437","442","459","460","491","555","565","586","595","600","633","634","652","655","663","681","682","685","689","697","698","703","708","720","726","729","734","741","742","748","749","763","768","769","787","789","804","812","818","820","826","838","859","863","866","874","892","893","895","901","920","921","922","925","953","967","968","979","988","991","992","993","997","1003"
"ministro transizione ecologica","212","364","433","443","446","450","452","454","459","460","993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"limite massimo annuale","390","401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"servizio sanitario nazionale","83","199","200","203","206","213","216","218","227","581","900","930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro sviluppo economico","122","249","297","320","379","401","433","436","442","457","466","512","523","633","681","682","693","730","901","953","958","986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero università ricerca","236","238","242","247","249","258","693","762","764","797","952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero economia finanze","30","49","57","60","76","99","100","137","157","171","208","215","264","277","318","327","328","329","330","331","332","336","337","345","364","369","376","381","398","399","426","427","430","452","496","498","523","525","529","535","548","560","564","565","570","573","576","583","599","606","615","617","628","629","652","720","725","806","823","890","891","900","952","956","969","977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro università ricerca","231","237","239","240","247","249","250","253","254","763","782","953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
