"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"cassa servizi energetici ambientali","24","57","101","112","135","157","168","179","190","334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero ambiente sicurezza energetica","113","157","290","346","655","658","660","662","675","676","677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro affari regionali autonomie","212","765","770","774","775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"piano nazionale ripresa resilienza","229","302","307","309","376","400","448","462","471","481","505","507","509","514","541","670","697","757","769","782","807","810","853","885","887",,,,,,,,,,,,,,,,,,,,,,,,,,
"dipartimento ragioneria generale stato","302","309","402","403","409","411","421","427","428","456","460","464","469","550","660","663","697","757","782","805","870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"contratto collettivo nazionale lavoro","175","262","377","386","393","511","529","530","683","697","782","853","880","885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"imposta regionale attività produttive","4","22","38","75","259","412","423","457","654","667","778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro lavoro politiche sociali","158","209","237","243","250","252","294","374","415","842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data entrata vigore presente","32","61","63","82","87","89","91","97","99","103","104","108","111","120","128","134","138","139","143","145","147","152","236","246","292","294","305","313","320","346","388","399","425","432","433","435","442","448","491","513","514","556","584","585","617","657","679","708","771","856","894"
"parole sono sostituite parole","191","206","249","313","399","477","680","711","712","718","741","765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
