"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"liquidazione coatta amministrativa","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"regioni statuto ordinario","396","407","409","440","441","449","476","483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"trattamento minimo inps","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data maturazione requisiti","30","45","71","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ragioneria generale stato","308","315","408","410","467","475","476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data entrata vigore","2","20","28","31","39","63","70","123","148","197","202","204","216","227","229","234","236","280","287","307","308","314","315","376","378","394","448","490","505","509","528","530","544",,,,,,,,,,,,
"servizio sanitario nazionale","73","133","141","154","159","224","235","293","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero economia finanze","3","16","17","28","61","76","97","106","115","125","156","166","186","187","191","192","196","227","230","233","276","308","315","317","336","376","394","405","408","410","428","432","448","467","469","475","476","499","503","504","530",,,,
"ministro economia finanze","8","20","28","63","98","123","129","158","167","181","182","188","202","204","231","241","275","292","307","314","334","338","376","388","389","391","397","413","425","441","450","455","467","469","472","473","474","476","484","490","495","505","509","513","553"
"entrata bilancio stato","111","115","166","223","266","377","453","454","476","480","526","546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
